167TH TFR FEDERAL CREDIT UNION,2246
1ST 2ND MORTGAGE CO. OF NJ INC,17817
1ST ADVANTAGE FEDERAL CREDIT,29326
1ST ADVANTAGE MORTGAGE,8438
"1ST ALLIANCE LENDING, LLC",36563
1ST COLONIAL COMMUNITY  BANK,2989
1ST CONSTITUTION BANK,2012
1ST MARINER BANK,3415853
1ST NATIONAL COMMUNITY BANK,352
1ST PORTFOLIO LENDING CORP,864093
1ST PREFERENCE MORTGAGE CORP,337084
360 MORTGAGE GROUP LLC,133146
3RD FED BANK,417
5STAR BANK,200
66 FEDERAL CREDIT UNION,1591
ABERDEEN PROVING GROUND FCU,253112
ABNB FEDERAL CREDIT UNION,33220
ABSOLUTE HOME MORTGAGE CORP,12142
ACACIA FEDERAL SAVINGS BANK,394987
ACADEMY MORTGAGE CORPORATION,318527
ACADEMY NATIONAL BANK,408
ACCESS NATIONAL BANK,749903
ACNB BANK,3114
"ACOPIA, LLC",386
ADMIRALS BANK,1065
ADP FEDERAL CREDIT UNION,673
ADVANCE BANK,3439
ADVANCE MORTGAGE,12129
ADVANCE MORTGAGE CORPORATION,270
ADVANCIAL FEDERAL CREDIT UNION,10435
ADVANTAGE BANK,28818
"ADVISORS MORTGAGE GROUP, LLC.",6422
AEROSPACE FEDERAL CREDIT UNION,15822
AFFILIATED BANK,1395
AFFILIATED MORTGAGE COMPANY,8793
AFFINITY BANK OF PA,208
AFFINITY FEDERAL CREDIT UNION,11986
"AFFINITY LENDING SOLUTIONS, LL",1423
"AGCHOICE FARM CREDIT,   ACA",1246
AGRICULTURE FCU,36
AIR ACADEMY FEDERAL CU,626
AIR FORCE FEDERAL CREDIT UNION,208
"AIRES MORTGAGE SOLUTIONS, LLC",739
"ALCOVA MORTGAGE, LLC",675910
"ALERUS FINANCIAL, N.A.",1357
ALL WESTERN MORTGAGE,787
ALLEGACY FEDERAL CREDIT UNION,4540
ALLEGANY COUNTY TEACHERS FCU,15191
ALLIANCE BANK,848
ALLIANT CREDIT UNION,59859
"ALLIED FIRST BANK, SB",2131
ALLIED MORTGAGE GROUP,256437
ALLY BANK,1452930
ALPHA MORTGAGE CORPORATION,571
ALTRA FEDERAL CREDIT UNION,334
AMALGAMATED BANK,4103
AMARILLO NATIONAL BANK,647
AMERICA'S CHOICE HOME LOANS LP,3104
AMERICAN ADVISORS GROUP,46652
AMERICAN AIRLINES FCU,11142
AMERICAN B & T C N.A.,1930
AMERICAN BANK,290629
"AMERICAN EQUITY MORTGAGE, INC.",139368
AMERICAN FINANCE HOUSE LARIBA,19719
AMERICAN FINANCIAL FUNDING,300
AMERICAN FINANCIAL NETWORK INC,22975
AMERICAN FINANCIAL RESOURCES,258794
AMERICAN FINANCING CORP,571
AMERICAN HERITAGE CAPITAL,6133
AMERICAN HERITAGE FCU,7934
AMERICAN HERITAGE NATIONAL BAN,560
"AMERICAN INTERNET MORTGAGE,INC",429933
AMERICAN MIDWEST BANK,713
AMERICAN MORTGAGE SERVICE COMP,474
AMERICAN NATIONAL BANK,393
AMERICAN NATIONAL BANK & TRUST,83244
AMERICAN NEIGHBORHOOD MORTGAGE,327836
"AMERICAN SAVINGS BANK, FSB, PO",176
AMERICAN SECURITY MORTGAGE COR,192852
AMERICAN SOUTHWEST MORTGAGE CO,25408
AMERICAN SPIRIT FCU,1271
AMERICAN TRUST & SAVINGS BANK,662
AMERICASH,25012
"AMERIPRISE BANK, FSB",19636
AMERIS BANK,4917
AMERISAVE MORTGAGE CORPORATION,1518005
AMERISERV FINANCIAL BANK,3050
AMERITRUST MORTGAGE INC.,25912
ANDREWS FEDERAL CREDIT UNION,59631
ANDROMEDA MORTGAGE GROUP LLC,812
ANHEUSER-BUSCH EMPLOYEES' CU,9131
APCI FEDERAL CREDIT UNION,4433
"APEX HOME LOANS, INC.",1187366
APL FEDERAL CREDIT UNION,12422
APPALACHIAN COMMUNITY FCU,9567
APPLE FEDERAL CREDIT UNION,467614
ARGENT FEDERAL CREDIT UNION,36486
ARK-LA-TEX FINANCIAL SERVICES,17008
ARLINGTON COMMUNITY FCU,4238
"ARMED FORCES BANK, NA",10561
ARTISANS' BANK,55626
ARUNDEL FEDERAL SAVINGS BANK,94587
ARVEST BANK,240
ARVEST MORTGAGE COMPANY,20172
ASCEND FEDERAL CREDIT UNION,922
ASHLAND CREDIT UNION,983
ASPIRE FEDERAL CREDIT UNION,320
ASSOCIATED MORTGAGE BANKERS IN,9386
ASTORIA FEDERAL MORTGAGE CORP.,243449
ASTORIA FEDERAL SAVINGS & LOAN,92004
ATLANTA POSTAL CREDIT UNION,2040
ATLANTIC BAY MORTGAGE GROUPLLC,2506168
ATLANTIC COAST BANK,328
ATLANTIC COAST MORTGAGE LLC,2250156
ATLANTIC FINANCIAL FED CU,11875
"ATLANTIC FINANCIAL, INC.",65642
"ATLANTIC HOME LOANS, INC.",153813
ATLANTIC PACIFIC MORTGAGE CORP,33635
AURORA BANK FSB,6964
AURORA FINANCIAL GROUP INC,6155
AVENUE BANK,273
BALTIMORE COUNTY EMPLOYEES FCU,3787
BALTIMORE COUNTY SAVINGS BANK,38851
"BANC OF CALIFORNIA, NA",76879
BANCO POPULAR NORTH AMERICA,1056
BANCORPSOUTH,476
BANK @LANTEC,13343
"BANK OF AMERICA, N.A.",12643531
BANK OF ANN ARBOR,1135
BANK OF BENNINGTON,542
BANK OF BLUE VALLEY,2092
BANK OF BOTETOURT,26406
BANK OF CHARLES TOWN,56185
BANK OF CLARKE COUNTY,50735
BANK OF ENGLAND,87655
BANK OF FLOYD,6983
BANK OF GASSAWAY,27283
BANK OF GEORGETOWN,31956
BANK OF IDAHO,292
BANK OF MANHATTAN NA,2130
BANK OF MCKENNEY,10345
BANK OF MOUNT HOPE INC,1351
BANK OF NEBRASKA,3713
BANK OF NORTH CAROLINA,9634
BANK OF OAK RIDGE,170
BANK OF OCEAN CITY,6131
BANK OF SPRINGFIELD,293
BANK OF SULLIVAN,372
BANK OF TENNESSEE,1633
BANK OF THE JAMES,47647
BANK OF THE OZARKS,790
BANK OF VIRGINIA,5234
"BANK OF WHITTIER, N.A.",4113
BANK STAR,713
BANK-FUND STAFF FCU,1294616
BANKANNAPOLIS,3492
BANKERS TRUST COMPANY,995
BANKSOUTH,5586
BARCLAYS BANK DELAWARE,4887
BARRINGTON BANK & TRUST CO.NA,161984
BARRONS MORTGAGE GROUP LTD,208513
BAXTER CREDIT UNION,19090
"BAY BANK, FSB",379925
BAY CAPITAL MORTGAGE CORPORATI,167291
BAY VALLEY MORTGAGE GROUP,7138
